ID,name,type,duration,participants
MSE 156,Enivronmental Science,LECTURE,2,LEC064 ED1-METE
MSE 154,Principles of Materials Science,LECTURE,2,LEC060 ED1-METE
MSE 154,Principles of Materials Science,LECTURE,2,LEC060 ED1-MSE
MSE 152,Kinetics of Chemical Reaction,LECTURE,2,LEC244 ED1-MSE
MME 392,Marine Industrial Engineering and Ergonomics,LECTURE,2,LEC029 ED3-MARI
MME 386,Marine Elec Technology and Elec Measurements,LECTURE,2,LEC029 ED3-MARI
MME 382,Naval Architecture I,LECTURE,2,LEC047 ED3-MARI
MME 356,Strength of Marine Materials II,LECTURE,2,LEC024 ED3-MARI
MME 292,Seamanship,LECTURE,2,LEC047 ED2-MARI
MME 274,Marine Engineering Design Project,LECTURE,2,LEC005 ED2-MARI
MME 264,Marine Mechanisms Synthesis and Analysis I,LECTURE,2,LEC011 ED2-MARI
MME 174,First Year Design Project,LAB_SESSION,2,LEC005 ED1-ME
MME 174,First Year Design Project,LAB_SESSION,2,LEC005 ED1-ME
METE 498,Project II,LAB_SESSION,2,LEC13 ED4-METE
METE 498,Project II,LAB_SESSION,2,LEC13 ED4-METE
METE 452,Electrometallurgy,LECTURE,2,LEC065 ED4-METE
METE 358,Metallurgical Engineering Laboratory II,LAB_SESSION,2,LEC060 ED3-METE
METE 358,Metallurgical Engineering Laboratory II,LAB_SESSION,2,LEC060 ED3-METE
METE 354,Hydrometallurgy of Precious Metals,LECTURE,2,LEC068 ED3-METE
METE 258,Computer Programming and Applications,LECTURE,2,LEC055 ED2-METE
METE 256,Assaying,LECTURE,2,LEC067 ED2-METE
METE 254,Ore Beneficiation,LECTURE,2,LEC062 ED2-METE
METE 252,Mettalurgical Rate Processes and Surface Phenomena,LECTURE,2,LEC065 ED2-METE
METE 152,Chemistry for Metallurgical Engineers,LECTURE,2,LEC062 ED1-METE
ME 496,Human Factors and Ergonomics,LECTURE,2,LEC029 ED4-ME
ME 494,Maintenance Engineering,LECTURE,2,LEC017 ED4-AERO
ME 494,Maintenance Engineering,LECTURE,2,LEC017 ED4-ME
ME 492,Entrepreneurship Development,LECTURE,2,LEC029 ED4-AERO
ME 492,Entrepreneurship Development,LECTURE,2,LEC029 ED4-ME
ME 492,Entrepreneurship Development And Management,LECTURE,2,LEC243 ED4-EE
ME 492,Management and Entrepreneurship Development,LECTURE,2,LEC075 ED4-METE
ME 492,Engineering Economics And Management,LECTURE,2,LEC030 ED4-TEL
ME 492,Entrepreneurship Development,LECTURE,2,LEC075 ED4-BME
ME 492,Management and Entrepreneurship Development,LECTURE,2,LEC029 ED4-AE
ME 492,Management and Entrepreneurship Development,LECTURE,2,LEC243 ED4-MSE
ME 492,Management and Entrepreneurship Development,LECTURE,2,LEC075 ED4-COE
ME 482,Mechanical Engineering Materials III,LECTURE,2,LEC034 ED4-ME
ME 478,Production Engineering Techniques,LECTURE,2,LEC037 ED4-ME
ME 476,Design of Vehicles Structures,LECTURE,2,LEC022 ED4-ME
ME 474,Production Planning and Control,LECTURE,2,LEC034 ED4-ME
ME 472,Machine Shop and Factory Design,LECTURE,2,LEC037 ED4-ME
ME 468,Internal Combustion Engines,LECTURE,2,LEC016 ED4-ME
ME 464,Instrumentation,LECTURE,2,LEC036 ED4-ME
ME 462,Mechanisms Synthesis and Analysis II,LECTURE,2,LEC012 ED4-ME
ME 456,Introduction to Finite Element Methods,LECTURE,2,LEC006 ED4-ME
ME 452,Fluid Machinery,LECTURE,2,LEC028 ED4-ME
ME 392,Industrial Engineering and Ergonomics,LECTURE,2,LEC029 ED3-AERO
ME 392,Industrial Engineering and Ergonomics,LECTURE,2,LEC029 ED3-ME
ME 384,Microprocessors and Mechatronics Applications,LECTURE,2,LEC014 ED3-AUTO
ME 376,Introduction to CAD/CAM,LECTURE,2,LEC005 ED3-AE
ME 374,Machine Design,LECTURE,2,LEC006 ED3-ME
ME 374,Machine Design II,LECTURE,2,LEC001 ED3-AE
ME 366,Heat Transfer,LECTURE,2,LEC016 ED3-AERO
ME 366,Heat Transfer,LECTURE,2,LEC016 ED3-ME
ME 366,Heat Transfer,LECTURE,2,LEC028 ED3-MARI
ME 366,Heat Transfer,LECTURE,2,LEC028 ED3-AE
ME 362,Vibrations I,LECTURE,2,LEC024 ED3-AERO
ME 362,Vibrations,LECTURE,2,LEC024 ED3-MARI
